"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Rendering Dictionary of Personal Names";"https://www.letonika.lv/groups/default.aspx?g=2&r=1109";"4,000 entries";;;;"Latvian";"This dictionary contains person names in four languages (Czech, French, Italian and German) and their renderings in Latvian in accordance with the rendering rules of proper nouns. The resource is available for online browsing.";"Dictionaries";"Browse";"http://www.letonika.lv/groups/default.aspx?g=2&r=1109";;;
"Tezaurs.lv (2023 Summer Edition)";"http://hdl.handle.net/20.500.12574/87";"393,500 entries";"phonetic, morphological, semantic annotations";"CC BY-SA 4.0";"http://creativecommons.org/licenses/by-sa/4.0/";"Latvian";"This is a comprehensive corpus-based dictionary of the Latvian language.#SEPThe resource is available for online browsing as well as for download from the CLARIN-LV repository.";"Dictionaries";"Browse";"http://tezaurs.lv/#SEPhttp://hdl.handle.net/20.500.12574/87";"Spektors et al. (2016)";"https://www.clarin.eu/resource-families/lexical-resources-dictionaries#Spektors%20et%20al.%202016";
"Dictionaries of the CLARIN-PL Lexical Platform";"http://lexp.clarin-pl.eu/";"512,973 entries";;"Other - Institute of Computer Science PAS";;"Polish";"This is a collection of the following 4 dictionaries, which are available through the same online environment:#SEP<ol>     <li><a href=""http://lexp.clarin-pl.eu/"">Grammatical Dictionary of Polish</a> (334,845 entries)</li>     <li><a href=""https://eswil.ijp.pan.pl/index.php"">Vilnius Dictionary</a> (108,513 entries)</li>     <li><a href=""http://spxvi.edu.pl/"">The Polish Electronic Dictionary of the 16th c</a>. (30,700 entries)</li>     <li><a href=""http://spxvi.edu.pl/"">The Polish Electronic Dictionary of the 17th and 18th c.</a> (38,915 entries)</li>    </ol>#SEPAll the 4 dictionaries are available through the same online lexical platform developed by CLARIN-PL.";"Dictionaries";"Browse";"http://lexp.clarin-pl.eu/";;;
"Polish Hask Collocation Database";"http://pelcra.pl/hask_pl/";"106,723 entries containing 5,636,857 combinations";;"CC-BY-NC";"https://creativecommons.org/licenses/by-nc/4.0";"Polish";"HASK collocation dictionaries are phraseological databases used by linguists, language teachers, lexicographers, language materials developers, translators and other language professionals and casual dictionary users. The resource is available for online browsing through the PELCRA environment.";"Dictionaries";"Browse";"http://pelcra.pl/hask_pl/";;;
"Specialized Phonetic Dictionary";"https://corpus.by/SpecializedPhoneticDictionary/?lang=en";"13,713 wordforms";;"CC BY-NC 4.0";"https://creativecommons.org/licenses/by-sa/4.0/";"Russian";"This dictionary contains words from specialised topics. The dictionary is available for online browsing through a service provided by the CLARIN Knowledge Centre for Belarusian text and speech processing.";"Dictionaries";"Browse";"https://corpus.by/SpecializedPhoneticDictionary/?lang=en";;;
"Dictionary of Lesser Used Slovenian Words";"http://hdl.handle.net/11356/1130";"178,457 entries";"MSD-tags";"CC-BY 4.0";"https://creativecommons.org/licenses/by-sa/4.0/";"Slovenian";"This is a dictionary that contains entries that were not included in the Dictionary of the Slovenian Standard Language. The resource is available for download from CLARIN.SI and for online browsing.";"Dictionaries";"Browse#SEPDownload";"http://bos.zrc-sazu.si/besedisc.html#SEPhttp://hdl.handle.net/11356/1130";;;
"Dictionary of New Slovenian Words";"http://hdl.handle.net/11356/1091";"6,399 entries";;"CC-BY 4.0";"https://creativecommons.org/licenses/by-sa/4.0/";"Slovenian";"This is a dictionary of new words and neologisms. The resource is available for download from CLARIN.SI and for online browsing.";"Dictionaries";"Browse#SEPDownload";"http://www.fran.si/131/snb-slovar-novejsega-besedja#SEPhttp://hdl.handle.net/11356/1091";;;
"Dictionary of Slovenian Particles";"http://hdl.handle.net/11356/1128";"429 entries";;"CC-BY 4.0";"https://creativecommons.org/licenses/by-sa/4.0/";"Slovenian";"This is a dictionary of connectives, disjuncts, emphasisers; not to be confused with English adverbial particles despite its name. The resource is available for download from CLARIN.SI and for online browsing.";"Dictionaries";"Browse#SEPDownload";"http://www.termania.net/slovarji/127/slovar-slovenskih-clenkov#SEPhttp://hdl.handle.net/11356/1128";"Žele (2015)";"https://www.clarin.eu/resource-families/lexical-resources-dictionaries#%C5%BDele%202015";
"Dictionary of Slovenian Phrasemes";"http://hdl.handle.net/11356/1129";"3,002 entries";"descriptions and explanations of Slovenian phrasemes";"CC-BY-NC 4.0";"https://creativecommons.org/licenses/by-sa/4.0/";"Slovenian";"This is a multiword lexicon available for download from CLARIN.SI and for online browsing through a dedicated environment.";"Dictionaries";"Browse#SEPDownload";"http://www.termania.net/slovarji/127/slovar-slovenskih-clenkov#SEPhttp://hdl.handle.net/11356/1129";;;
"Dictionary of the Slovenian Language in the Works of Janez Svetokriški";"http://hdl.handle.net/11356/1092";"8,540 entries";;"CC-BY 4.0";"https://creativecommons.org/licenses/by/4.0/";"Slovenian";"This is a historical dictionary compiling the works of Janez Svetokriški. The resource is available for download from CLARIN.SI and for online browsing.";"Dictionaries";"Browse#SEPDownload";"http://www.fran.si/139/slovar-jezika-janeza-svetokriskega#SEPhttp://hdl.handle.net/11356/1092";;;
"Dictionary of Twitterese Janes-Dict 1.0";"http://hdl.handle.net/11356/1172";"1,002 entries";;"CC-BY-SA 4.0";"https://creativecommons.org/licenses/by-sa/4.0/";"Slovenian";"This is a dictionary of computer-mediated communication appearing on Twitter. The resource is available for download from CLARIN.SI and for online browsing.";"Dictionaries";"Browse#SEPDownload";"http://lexonomy.cjvt.si/slovar-tviterscine/#SEPhttp://hdl.handle.net/11356/1172";"Gantar et al. (2016)";"https://www.clarin.eu/resource-families/lexical-resources-dictionaries#Gantar%20et%20al.%202016";
"Reverse dictionary of Slovenian language";"http://hdl.handle.net/11356/1094";"115,355 entries";;"CC-BY 4.0";"https://creativecommons.org/licenses/by/4.0/";"Slovenian";"This is a dictionary where headwords are sorted by last-to-first letter. The resource is available for download from CLARIN.SI.";"Dictionaries";"Download";"http://hdl.handle.net/11356/1094";;;
"Words of the 16th-Century Slovenian Literary Language";"http://hdl.handle.net/11356/1127";"27,759 entries";"PoS-tags, phonological features";"CC-BY 4.0";"https://creativecommons.org/licenses/by/4.0/";"Slovenian";"This is a historical dictionary that provides comprehensive information on the vocabulary used in the Slovenian literary language during the period of the Reformation. The resource is available for download from CLARIN.SI and for online browsing.";"Dictionaries";"Browse#SEPDownload";"http://www.fran.si/iskanje?FilteredDictionaryIds=140&View=1&Query=%2A#SEPhttp://hdl.handle.net/11356/1127";;;
"Dalin's Dictionary (2017-10-16)";"http://hdl.handle.net/10794/16";"62,975 entries";;"CC-BY 4.0";"https://creativecommons.org/licenses/by/4.0/";"Swedish";"Dalin's Dictionary of 19th century Swedish. The resource can be download from the SWE-CLARIN repository and can be queried online through KARP.";"Dictionaries";"Browse#SEPDownload";"https://spraakbanken.gu.se/karp/#?mode=dalin&resources=dalin,dalinm,dalin-base#SEPhttp://hdl.handle.net/10794/16";;;
"Hellquist's Swedish etymology (2017-10-16)";"http://hdl.handle.net/10794/26";"12,376 entries";;"CC-BY 4.0";"https://creativecommons.org/licenses/by/4.0/";"Swedish";"This is an etymological dictionary that is available for download from the SWE-CLARIN repository and can be queried online through KARP.";"Dictionaries";"Browse#SEPDownload";"https://spraakbanken.gu.se/karp/#?mode=hellqvist#SEPhttp://hdl.handle.net/10794/26";;;
"Online Lexicon of Veps Language";"http://urn.fi/urn:nbn:fi:lb-20140730178";;;"EUPL";;"Veps";"This is a dictionary of the Veps Language available for online browsing through FIN-CLARIN.";"Dictionaries";"Browse#SEPDownload";"http://kaino.kotus.fi/sanat/vepsa/#SEPhttp://urn.fi/urn:nbn:fi:lb-20140730178";;;
