"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Licence_URL";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Corpus of Old Written Estonian";"http://hdl.handle.net/11297/1-00-0000-0000-0000-0002-6";"Estonian";"2 million tokens";"tokenised, 16.-18. century texts have been tagged with contemporary Estonian, morphological and language information. 19. century texts are unannotated.";"CC-BY";"";"This corpus covers secular and religious texts from the 16th to the 18th century.#SEPThe corpus is available through a dedicated concordancer.";"Historical corpora";"Concordancer";"http://vakk.ut.ee/";"Kingisepp et al. (2004).";"https://www.clarin.eu/resource-families/historical-corpora#Kingisepp%20et%20al.%202004";""
"Classics of Finnish Literature, Kielipankki Version";"http://urn.fi/urn:nbn:fi:lb-20140730186";"Finnish";"1.5 million words";"";"EUPL v.1.1 SA";"";"This corpus contains literary texts from 1880 to 1949.#SEPThe corpus is available through the concordancer Korp.";"Historical corpora";"Concordancer";"http://urn.fi/urn:nbn:fi:lb-2016081601";"";"";""
"Corpus of Old Literary Finnish";"http://urn.fi/urn:nbn:fi:lb-201407165";"Finnish";"4.1 million words";"MSD-tagged, syntactically parsed";"EUPL v.1.1 SA";"";"This corpus contains literary texts from 1543 to 1810.#SEPThe corpus is available through the concordancer Korp.";"Historical corpora";"Concordancer";"http://urn.fi/urn:nbn:fi:lb-2014102101";"";"";""
"The Finnish Gutenberg Corpus";"http://urn.fi/urn:nbn:fi:lb-2014100301";"Finnish";"34.5 million words";"";"CC-BY";"";"This corpus contains books published up to 1925 that are made available through the Gutenberg project.#SEPThe corpus is available through the concordancer Korp.";"Historical corpora";"Concordancer";"http://urn.fi/urn:nbn:fi:lb-2014102101";"";"";""
"The Finnish Sub-corpus of the Newspaper and Periodical Corpus of the National Library of Finland, Kielipankki Version";"http://urn.fi/urn:nbn:fi:lb-2016050302";"Finnish";"5.2 billion tokens";"tokenised";"CC_BY-SA";"";"This corpus contains newspaper articles from 1840 to 2011.#SEPThe corpus is available through the concordancer Korp.";"Historical corpora";"Concordancer";"http://urn.fi/urn:nbn:fi:lb-201405275";"";"";""
"The Morpho-Syntactic Database of Mikael Agricola's Works";"http://urn.fi/urn:nbn:fi:lb-20140730170";"Finnish";"428,300 tokens";"tokenised, PoS-tagged, morphological components and syntactic function";"CC-BY-ND";"";"This corpus contains texts from 1544 to 1551 written by the clergyman Mikael Agricola.#SEPThe corpus is available through the concordancer Korp.";"Historical corpora";"Concordancer";"http://urn.fi/urn:nbn:fi:lb-201407166";"";"";""
"Virtual Old Literary Finnish (VVKS) - Kielipankki Korp version";"http://urn.fi/urn:nbn:fi:lb-2017082101";"Finnish";"48 texts";"";"CC-BY-NC-ND";"";"This corpus contains literary texts from 1543 to 1791.";"Historical corpora";"";"";"";"";""
"Partonopeus de Blois: transcriptions of all manuscripts and fragments";"http://hdl.handle.net/20.500.12024/2499";"French (Old)";"21,736,766 words";"no linguistic annotation";"CC BY-NC-SA 3.0";"";"This corpus contains transcriptions of the manuscripts and fragments of the romance Partonopeus de Blois.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/2499";"";"";""
"Syntactic Reference Corpus of Medieval French";"http://hdl.handle.net/11022/1007-0000-0000-9D2B-0";"French (Old)";"245,000 tokens";"tokenised, syntactically-parsed";"CLARIN ACA";"";"This corpus contains texts from the 9th to the 13th century.#SEPThe corpus is available for download from a dedicated webpage.";"Historical corpora";"Download";"http://srcmf.org/#sec:access";"Stein (2013).";"https://www.clarin.eu/resource-families/historical-corpora#Stein%202013";""
"Austrian Baroque Corpus";"https://acdh.oeaw.ac.at/abacus/";"German";"200,000 tokens";"tokenised, PoS-tagged, lemmatised, named entities";"";"";"This corpus contains sermons from 1650 to 1750.#SEPThe corpus is available through a dedicated concordancer.";"Historical corpora";"Concordancer";"https://acdh.oeaw.ac.at/abacus/corpus.html";"Resch et al. (2016).";"https://www.clarin.eu/resource-families/historical-corpora#Resch%20et%20al.%202016";""
"DDR-Presseportal (GDR press portal)";"https://clarin.bbaw.de/en/corpus/";"German";"";"";"";"";"This corpus contains newspaper texts from 1945 to 1994.#SEPThe corpus is available through a concordancer provided by CLARIN-D.";"Historical corpora";"Concordancer";"http://zefys.staatsbibliothek-berlin.de/ddr-presse/";"";"";""
"Deutsches Textarchiv (DTA)";"http://hdl.handle.net/21.11120/0000-0005-0ABA-F";"German";"215,168,761 tokens";"tokenised, PoS-tagged, lemmatised";"CLARIN PUB";"";"This corpus contains texts from the 17th to the 20th century.#SEPThe corpus is available through a dedicated concordancer.";"Historical corpora";"Concordancer";"http://www.deutschestextarchiv.de/";"Haaf and Thomas (2016).";"https://www.clarin.eu/resource-families/historical-corpora#Haaf%20and%20Thomas%202016";""
"Die Grenzboten (journal)";"http://www.deutschestextarchiv.de/doku/textquellen#grenzboten";"German";"89 million tokens";"tokenised, lemmatised, PoS-tagged, normalised orthography";"CC-BY-NC-SA 3.0";"";"This corpus contains texts from 1842 to 1921.#SEPThe corpus is available for download from the Deutsches Text Archiv and through a concordancer.";"Historical corpora";"Concordancer#SEPDownload";"http://kaskade.dwds.de/dstar/grenzboten/#SEPhttp://www.deutschestextarchiv.de/doku/textquellen#grenzboten";"";"";""
"Dinglers Polytechnisches Journal (Polytechnical Journal of Dingler)";"http://www.deutschestextarchiv.de/doku/textquellen#dingler";"German";"77.5 million tokens";"tokenised, PoS-tagged, lemmatised, normalized orthography";"CC-BY-NC-SA 3.0";"";"This corpus contains academic texts from 1820 to 1931.#SEPThe corpus is available for download from the Deutsches Text Archiv and through a concordancer.";"Historical corpora";"Concordancer#SEPDownload";"http://kaskade.dwds.de/dstar/dingler/#SEPhttp://www.deutschestextarchiv.de/doku/textquellen#dingler";"";"";""
"GeMi Corpus";"http://hdl.handle.net/20.500.12024/2562";"German";"120,000 tokens";"TEI Lite markup, no linguistic annotation";"CC-BY-NC-SA 3.0";"";"This corpus contains medical writing from 1500 to 1700.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/2562";"";"";""
"GerManC. A Historical Corpus of German Newspapers 1650-1800";"http://hdl.handle.net/20.500.12024/2544";"German";"700,000 words";"no annotation";"CC-BY-NC-SA 3.0";"";"This corpus contains personal letters, sermons and fictional, scholarly (i.e., humanities), scientific and legal texts from 1650 to 1800.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/2544";"";"";""
"Mannheimer Korpus Historischer Zeitungen und Zeitschriften";"https://vlo.clarin.eu/record/http_58__47__47_hdl.handle.net_47_10932_47_00-01B8-AE41-41A4-DC01-5";"German";"3532 pages";"";"";"";"This corpus contains texts from the 18th and 19th centuries.#SEPThe corpus is available for download directly through the <a class=""lexicon-term"" href=""https://www.clarin.eu/glossary#VLO"" title=""Virtual Language Observatory See: http://www.clarin.eu/vlo"">VLO</a>.";"Historical corpora";"Download";"http://hdl.handle.net/10932/00-017B-E47E-5630-9F01-3";"";"";""
"Referenzkorpus Mittelhochdeutsch (Middle High German Reference Corpus)";"http://deutschestextarchiv.de/rem/";"German";"2.5 million tokens";"tokenised, PoS-tagged, lemmatised, normalised, morphosyntactic description";"CC-BY-SA 4.0";"";"This corpus contains texts from 1050 to 1350.#SEPThe corpus is available for download from the Deutsches Text Archiv and through a concordancer.";"Historical corpora";"Concordancer#SEPDownload";"http://www.deutschestextarchiv.de/#SEPhttp://deutschestextarchiv.de/rem/";"Klein and Dipper (2016).";"https://www.clarin.eu/resource-families/historical-corpora#Klein%20and%20Dipper%202016";""
"B4 Historisches Predigtenkorpus zum Nachfeld";"http://hdl.handle.net/11022/0000-0000-9B23-A";"German (Middle High)";"92,500 tokens";"tokenised, syntactic and discursive annotation";"CLARIN ACA";"";"This corpus contains sermons from an Upper German (Balvarian-Alemannic) dialect area.#SEPThe corpus is available for download from the repository of the University of Hamburg and through the ANNIS environment.";"Historical corpora";"Concordancer#SEPDownload";"http://annis.corpora.uni-hamburg.de:8080/gui/sfb632#SEPhttp://hdl.handle.net/11022/0000-0000-9B23-A";"";"";""
"B4 Ludolf";"http://hdl.handle.net/11022/0000-0000-9B22-B";"German (Middle High)";"6,690 tokens";"tokenised, tagged for clause type and grammatical function";"CLARIN ACA";"";"This corpus contains texts from a journey diary from 1350.#SEPThe corpus is available for download from the repository of the University of Hamburg and through the ANNIS environment.";"Historical corpora";"Concordancer#SEPDownload";"http://annis.corpora.uni-hamburg.de:8080/gui/sfb632#SEPhttp://hdl.handle.net/11022/0000-0000-9B22-B";"";"";""
"Reference Corpus Middle Low German/Low Rhenish (1200-1650)";"http://hdl.handle.net/11022/0000-0007-C64C-5";"German (Middle Low)";"200,700 tokens";"tokenised, MSD-tagged";"CC-BY";"";"This corpus contains texts from the 13th century to the middle of the 17th century.#SEPThe corpus is available for download from the repository of the University of Hamburg through the ANNIS environment.";"Historical corpora";"Concordancer#SEPDownload";"http://annis.corpora.uni-hamburg.de:8080/gui/#_c=UmVOXzIwMTctMDYtMTU#SEPhttp://hdl.handle.net/11022/0000-0007-C64C-5";"Schröder (2014).";"https://www.clarin.eu/resource-families/historical-corpora#Schr%C3%B6der%202014";""
